date:2020/04/10 20:40:04,  ip:162.158.6.39,  hostname:162.158.6.39,  requestUrl:/controller/admin/login_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36,  遷移元:http://jis-j.com/admin/login.php
date:2020/04/10 20:40:04,  ip:162.158.6.39,  hostname:162.158.6.39,  requestUrl:/admin/menu.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36,  遷移元:http://jis-j.com/admin/login.php
date:2020/04/10 20:40:13,  ip:162.158.7.124,  hostname:162.158.7.124,  requestUrl:/admin/eng_offer.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36,  遷移元:http://jis-j.com/admin/menu.php
date:2020/04/10 20:40:13,  ip:162.158.7.124,  hostname:162.158.7.124,  requestUrl:/controller/admin/eng_offer_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36,  遷移元:http://jis-j.com/admin/eng_offer.php
date:2020/04/10 20:40:15,  ip:162.158.7.124,  hostname:162.158.7.124,  requestUrl:/admin/tour.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36,  遷移元:http://jis-j.com/admin/eng_offer.php
date:2020/04/10 20:40:15,  ip:162.158.7.124,  hostname:162.158.7.124,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2020/04/10 20:40:17,  ip:162.158.7.124,  hostname:162.158.7.124,  requestUrl:/admin/store_basic.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2020/04/10 20:40:18,  ip:162.158.6.39,  hostname:162.158.6.39,  requestUrl:/controller/admin/store_basic_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36,  遷移元:http://jis-j.com/admin/store_basic.php
date:2020/04/10 20:40:20,  ip:162.158.6.219,  hostname:162.158.6.219,  requestUrl:/admin/member.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36,  遷移元:http://jis-j.com/admin/store_basic.php
date:2020/04/10 20:40:20,  ip:162.158.6.219,  hostname:162.158.6.219,  requestUrl:/controller/admin/member_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36,  遷移元:http://jis-j.com/admin/member.php
