date:2019/12/08 17:10:14,  ip:162.158.119.26,  hostname:162.158.119.26,  requestUrl:/controller/admin/login_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36,  遷移元:http://jis-j.com/admin/login.php
date:2019/12/08 17:10:14,  ip:162.158.119.26,  hostname:162.158.119.26,  requestUrl:/admin/menu.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36,  遷移元:http://jis-j.com/admin/login.php
date:2019/12/08 17:10:22,  ip:162.158.119.26,  hostname:162.158.119.26,  requestUrl:/admin/eng_offer.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36,  遷移元:http://jis-j.com/admin/menu.php
date:2019/12/08 17:10:22,  ip:162.158.119.26,  hostname:162.158.119.26,  requestUrl:/controller/admin/eng_offer_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36,  遷移元:http://jis-j.com/admin/eng_offer.php
date:2019/12/08 17:10:26,  ip:162.158.119.26,  hostname:162.158.119.26,  requestUrl:/admin/tour.php?tid=108,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36,  遷移元:http://jis-j.com/admin/eng_offer.php
date:2019/12/08 17:10:26,  ip:162.158.119.26,  hostname:162.158.119.26,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php?tid=108
date:2019/12/08 17:10:29,  ip:162.158.119.26,  hostname:162.158.119.26,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php?tid=108
date:2019/12/08 17:13:58,  ip:162.158.118.47,  hostname:162.158.118.47,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php?tid=108
date:2019/12/08 17:13:59,  ip:162.158.118.47,  hostname:162.158.118.47,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php?tid=108
date:2019/12/08 17:14:08,  ip:162.158.118.47,  hostname:162.158.118.47,  requestUrl:/admin/eng_offer.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php?tid=108
date:2019/12/08 17:14:08,  ip:162.158.118.47,  hostname:162.158.118.47,  requestUrl:/controller/admin/eng_offer_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36,  遷移元:http://jis-j.com/admin/eng_offer.php
date:2019/12/08 17:14:11,  ip:162.158.118.47,  hostname:162.158.118.47,  requestUrl:/admin/tour.php?tid=109,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36,  遷移元:http://jis-j.com/admin/eng_offer.php
date:2019/12/08 17:14:11,  ip:162.158.118.47,  hostname:162.158.118.47,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php?tid=109
date:2019/12/08 17:14:14,  ip:162.158.118.47,  hostname:162.158.118.47,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php?tid=109
date:2019/12/08 17:15:18,  ip:162.158.118.47,  hostname:162.158.118.47,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php?tid=109
date:2019/12/08 17:15:19,  ip:162.158.118.47,  hostname:162.158.118.47,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php?tid=109
date:2019/12/08 17:15:23,  ip:162.158.118.47,  hostname:162.158.118.47,  requestUrl:/admin/eng_offer.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php?tid=109
date:2019/12/08 17:15:24,  ip:162.158.118.47,  hostname:162.158.118.47,  requestUrl:/controller/admin/eng_offer_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36,  遷移元:http://jis-j.com/admin/eng_offer.php
date:2019/12/08 17:15:25,  ip:162.158.118.47,  hostname:162.158.118.47,  requestUrl:/admin/tour.php?tid=110,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36,  遷移元:http://jis-j.com/admin/eng_offer.php
date:2019/12/08 17:15:25,  ip:162.158.118.47,  hostname:162.158.118.47,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php?tid=110
