date:2020/10/12 20:29:20,  ip:162.158.118.37,  hostname:162.158.118.37,  requestUrl:/controller/admin/login_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36,  遷移元:http://jis-j.com/admin/login.php
date:2020/10/12 20:29:20,  ip:162.158.118.37,  hostname:162.158.118.37,  requestUrl:/admin/menu.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36,  遷移元:http://jis-j.com/admin/login.php
date:2020/10/12 20:29:24,  ip:162.158.118.37,  hostname:162.158.118.37,  requestUrl:/admin/ad.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36,  遷移元:http://jis-j.com/admin/menu.php
date:2020/10/12 20:29:24,  ip:162.158.118.37,  hostname:162.158.118.37,  requestUrl:/controller/admin/ad_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36,  遷移元:http://jis-j.com/admin/ad.php
date:2020/10/12 20:29:31,  ip:162.158.118.63,  hostname:162.158.118.63,  requestUrl:/controller/admin/ad_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36,  遷移元:http://jis-j.com/admin/ad.php
date:2020/10/12 20:30:06,  ip:162.158.118.63,  hostname:162.158.118.63,  requestUrl:/controller/admin/common_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36,  遷移元:http://jis-j.com/admin/ad.php
date:2020/10/12 20:30:16,  ip:162.158.118.63,  hostname:162.158.118.63,  requestUrl:/controller/admin/common_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36,  遷移元:http://jis-j.com/admin/ad.php
date:2020/10/12 20:30:23,  ip:162.158.118.63,  hostname:162.158.118.63,  requestUrl:/controller/admin/ad_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36,  遷移元:http://jis-j.com/admin/ad.php
date:2020/10/12 20:30:24,  ip:162.158.118.63,  hostname:162.158.118.63,  requestUrl:/controller/admin/ad_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36,  遷移元:http://jis-j.com/admin/ad.php
date:2020/10/12 20:35:33,  ip:162.158.119.212,  hostname:162.158.119.212,  requestUrl:/controller/admin/ad_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36,  遷移元:http://jis-j.com/admin/ad.php
date:2020/10/12 20:35:43,  ip:162.158.119.212,  hostname:162.158.119.212,  requestUrl:/admin/ad.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36,  遷移元:http://jis-j.com/admin/ad.php
date:2020/10/12 20:35:43,  ip:162.158.119.212,  hostname:162.158.119.212,  requestUrl:/controller/admin/ad_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36,  遷移元:http://jis-j.com/admin/ad.php
date:2020/10/12 20:35:49,  ip:162.158.119.212,  hostname:162.158.119.212,  requestUrl:/controller/admin/ad_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36,  遷移元:http://jis-j.com/admin/ad.php
date:2020/10/12 20:35:50,  ip:162.158.119.212,  hostname:162.158.119.212,  requestUrl:/controller/admin/ad_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36,  遷移元:http://jis-j.com/admin/ad.php
