date:2020/02/18 07:56:10,  ip:162.158.119.104,  hostname:162.158.119.104,  requestUrl:/controller/admin/login_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.106 Safari/537.36,  遷移元:http://jis-j.com/admin/login.php
date:2020/02/18 07:56:10,  ip:162.158.119.104,  hostname:162.158.119.104,  requestUrl:/admin/menu.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.106 Safari/537.36,  遷移元:http://jis-j.com/admin/login.php
date:2020/02/18 07:56:14,  ip:162.158.119.104,  hostname:162.158.119.104,  requestUrl:/admin/tour.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.106 Safari/537.36,  遷移元:http://jis-j.com/admin/menu.php
date:2020/02/18 07:56:14,  ip:162.158.119.104,  hostname:162.158.119.104,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.106 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2020/02/18 07:56:19,  ip:162.158.119.104,  hostname:162.158.119.104,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.106 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2020/02/18 07:57:08,  ip:162.158.119.104,  hostname:162.158.119.104,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.106 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2020/02/18 07:58:39,  ip:162.158.119.104,  hostname:162.158.119.104,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.106 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2020/02/18 07:58:49,  ip:162.158.118.201,  hostname:162.158.118.201,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.106 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2020/02/18 07:58:53,  ip:162.158.118.201,  hostname:162.158.118.201,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.106 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2020/02/18 16:50:01,  ip:162.158.118.215,  hostname:162.158.118.215,  requestUrl:/controller/admin/login_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.100 Safari/537.36,  遷移元:https://jis-j.com/admin/login.php
date:2020/02/18 16:50:01,  ip:162.158.118.215,  hostname:162.158.118.215,  requestUrl:/admin/menu.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.100 Safari/537.36,  遷移元:https://jis-j.com/admin/login.php
