date:2021/04/01 16:00:52,  ip:162.158.6.231,  hostname:162.158.6.231,  requestUrl:/controller/admin/login_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36,  遷移元:http://jis-j.com/admin/login.php
date:2021/04/01 16:00:52,  ip:162.158.6.231,  hostname:162.158.6.231,  requestUrl:/admin/menu.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36,  遷移元:http://jis-j.com/admin/login.php
date:2021/04/01 16:00:59,  ip:162.158.6.231,  hostname:162.158.6.231,  requestUrl:/admin/eng_offer.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36,  遷移元:http://jis-j.com/admin/menu.php
date:2021/04/01 16:01:00,  ip:162.158.7.196,  hostname:162.158.7.196,  requestUrl:/controller/admin/eng_offer_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36,  遷移元:http://jis-j.com/admin/eng_offer.php
date:2021/04/01 16:01:02,  ip:162.158.7.196,  hostname:162.158.7.196,  requestUrl:/admin/member.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36,  遷移元:http://jis-j.com/admin/eng_offer.php
date:2021/04/01 16:01:03,  ip:162.158.6.231,  hostname:162.158.6.231,  requestUrl:/controller/admin/member_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36,  遷移元:http://jis-j.com/admin/member.php
date:2021/04/01 16:01:04,  ip:162.158.6.231,  hostname:162.158.6.231,  requestUrl:/admin/store_basic.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36,  遷移元:http://jis-j.com/admin/member.php
date:2021/04/01 16:01:05,  ip:162.158.6.231,  hostname:162.158.6.231,  requestUrl:/controller/admin/store_basic_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36,  遷移元:http://jis-j.com/admin/store_basic.php
date:2021/04/01 16:01:09,  ip:162.158.6.231,  hostname:162.158.6.231,  requestUrl:/admin/tour.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36,  遷移元:http://jis-j.com/admin/store_basic.php
date:2021/04/01 16:01:09,  ip:162.158.6.231,  hostname:162.158.6.231,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
