date:2020/02/29 10:17:25,  ip:162.158.119.120,  hostname:162.158.119.120,  requestUrl:/controller/admin/login_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36,  遷移元:http://jis-j.com/admin/login.php
date:2020/02/29 10:17:25,  ip:162.158.119.120,  hostname:162.158.119.120,  requestUrl:/admin/menu.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36,  遷移元:http://jis-j.com/admin/login.php
date:2020/02/29 10:17:28,  ip:162.158.119.120,  hostname:162.158.119.120,  requestUrl:/admin/eng_offer.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36,  遷移元:http://jis-j.com/admin/menu.php
date:2020/02/29 10:17:28,  ip:162.158.119.120,  hostname:162.158.119.120,  requestUrl:/controller/admin/eng_offer_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36,  遷移元:http://jis-j.com/admin/eng_offer.php
date:2020/02/29 10:17:30,  ip:162.158.119.120,  hostname:162.158.119.120,  requestUrl:/admin/tour.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36,  遷移元:http://jis-j.com/admin/eng_offer.php
date:2020/02/29 10:17:31,  ip:162.158.119.120,  hostname:162.158.119.120,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2020/02/29 10:17:35,  ip:162.158.119.120,  hostname:162.158.119.120,  requestUrl:/admin/store_basic.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2020/02/29 10:17:36,  ip:162.158.119.120,  hostname:162.158.119.120,  requestUrl:/controller/admin/store_basic_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36,  遷移元:http://jis-j.com/admin/store_basic.php
date:2020/02/29 10:17:38,  ip:162.158.119.120,  hostname:162.158.119.120,  requestUrl:/admin/member.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36,  遷移元:http://jis-j.com/admin/store_basic.php
date:2020/02/29 10:17:39,  ip:162.158.119.120,  hostname:162.158.119.120,  requestUrl:/controller/admin/member_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36,  遷移元:http://jis-j.com/admin/member.php
